,aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm
0,402,경희궁자이(4단지),11110-2464,0126,0000,2017, , , ,"102,000",26,12,2023,중개거래,서울 종로구,45.879,16,126,1,N,24.02.08,송월길,00155,00000,4100192,01,11110, ,11110, ,18000,교북동
1, ,경희궁자이(4단지),11110-2464,0126,0000,2017, ,24.02.08,O,"102,000",28,12,2023,중개거래,서울 종로구,45.879,16,126,1,N, ,송월길,00155,00000,4100192,01,11110, ,11110, ,18000,교북동
2,1,삼전솔하임2차,11110-2322,0296,0019,2012, , , ,"10,800",30,12,2023,중개거래,서울 종로구,16.67,9,296-19,1,N,24.01.22,종로58가길,00027,00000,4100358,01,11110,0,11110, ,17500,숭인동
3,209,경희궁자이(2단지),11110-2445,0199,0000,2017, , , ,"194,000",27,12,2023,중개거래,서울 종로구,84.8359,8,199,1,N,24.01.15,송월길,00099,00000,4100192,01,11110, ,11110, ,17900,홍파동
4,102동,경희궁롯데캐슬,11110-2519,0089,0000,2019, , , ,"128,000",22,12,2023,중개거래,경기 부천원미구 서울 종로구,59.6737,9,89,1,N,24.01.22,통일로,00230,00000,3000008,00,11110,0,11110, ,18700,무악동
5,103동,경희궁롯데캐슬,11110-2519,0089,0000,2019, , , ,"150,000",16,12,2023,중개거래,서울 종로구,84.8792,14,89,1,N,24.03.05,통일로,00230,00000,3000008,00,11110,0,11110, ,18700,무악동
6,엘리시아,엘리시아,11110-2261,0066,0001,2009, , , ,"114,000",28,12,2023,중개거래,서울 종로구,236.07,2,66-1,1,N,24.01.12,평창문화로,00142,00000,3100023,01,11110,0,11110, ,18300,평창동
7,102,롯데낙천대,11110-71,0072,0000,2001, , , ,"118,000",20,12,2023,중개거래,서울 종로구,110.53,4,72,1,N,24.01.29,평창문화로,00140,00000,3100023,01,11110,0,11110, ,18300,평창동
8, ,디팰리스,11110-2539,0171,0000,2020, , , ,"280,000",11,12,2023,중개거래,서울 성동구,118.749,16,171,1,N,24.02.22,새문안로2길,00010,00000,4100157,01,11110,0,11110, ,12100,신문로2가
9,102,창신쌍용1,11110-37,0702,0000,1992, , , ,"69,000",8,12,2023,중개거래,서울 종로구,79.87,11,702,1,N,24.03.08,동망산길,00019,00000,4100065,01,11110,0,11110, ,17400,창신동
10, ,도시그린빌라,11110-44,0181,0121,1997, , , ,"23,900",23,12,2023,중개거래,서울 종로구,44.4,6,181-121,1,N,24.02.23,숭인동1길,00031,00000,4100200,01,11110,0,11110, ,17500,숭인동
11,포레스트힐시티,포레스트힐시티,11110-2440,0065,0002,2017, , , ,"16,000",26,12,2023,직거래, ,18.505,12,65-2,1,N,24.01.05,대학로,00033,00000,3100002,00,11110,0,11110, ,16200,효제동
12, ,종로중흥S클래스,11110-2339,0202,0003,2013, , , ,"10,500",4,12,2023,직거래, ,17.811,11,202-3,1,N,23.12.29,종로66길,00028,00000,4100372,01,11110,0,11110, ,17500,숭인동
13,307,경희궁자이(3단지),11110-2446,0233,0000,2017, , , ,"148,000",17,12,2023,중개거래,서울 종로구,59.7547,4,233,1,N,24.01.26,경교장길,00035,00000,4100002,01,11110, ,11110, ,17700,평동
14,1,종로유케이201,11110-2334,0201,0011,2013, , , ,"10,000",24,12,2023,직거래, ,12.08,12,201-11,1,N,23.12.27,난계로29길,00033,00004,4100030,01,11110,0,11110, ,17500,숭인동
15,102,창신쌍용1,11110-37,0702,0000,1992, , , ,"70,000",2,12,2023,중개거래,서울 종로구,79.87,10,702,1,N,24.01.12,동망산길,00019,00000,4100065,01,11110,0,11110, ,17400,창신동
16,104,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008, , , ,"179,000",2,12,2023,중개거래,서울 종로구,151.81,11,9,1,N,24.02.01,사직로8길,00004,00000,4100135,03,11110,0,11110, ,11500,사직동
17,1,종로유케이201,11110-2334,0201,0011,2013, , , ,"10,400",19,12,2023,직거래, ,12.09,9,201-11,1,N,23.12.20,난계로29길,00033,00004,4100030,01,11110,0,11110, ,17500,숭인동
18, ,두레엘리시안,11110-2175,0174,0001,2007, , , ,"90,000",1,12,2023,직거래, ,84.74,2,174-1,1,N,23.12.20,필운대로2길,00002,00000,4100525,03,11110,0,11110, ,11300,필운동
19,105,종로청계힐스테이트,11110-2234,0766,0000,2009, , , ,"98,500",1,12,2023,중개거래,서울 종로구,84.9478,9,766,1,N,24.04.01,숭인동길,00021,00000,4100204,01,11110,0,11110, ,17500,숭인동
